title,release_year,locations,fun_facts,production_company,distributor,director,writer,actor_1,actor_2,actor_3,state,city,point,supervisor_district,data_loaded_at,analysis_neighborhood,longitude,data_as_of,latitude
A Taiwanese Tale of Two Cities,2018,Pier 7,,Envision Productions Inc.,Netflix,Tien-Lun Yeh,"Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin",Tammy Cheng,Peggy Tseng,Shen-Hao Wen,CA,San Francisco,POINT (-122.3956409 37.7993521),3,2026-02-20T16:44:43.000,Financial District/South Beach,-122.3956409,2026-02-20T16:37:46.000,37.7993521
Chance- Season 1 ep106,2016,Montgomery between Pacific and Broadway,,TVM Productions,HULU,Sara Gran,Dan Attias,Hugh Laurie,Gretchen Mol,Ethan Suplee,CA,San Francisco,POINT (-122.4040634 37.7981354),3,2026-02-20T16:44:43.000,North Beach,-122.4040634,2026-02-20T16:37:46.000,37.7981354
On the Road,2012,Sacramento & Montgomery Streets,,SPAD Films,IFC Films & Sundance Selects,Walter Salles,Jack Kerouac & Jose Rivera,Garrett Hedlund,Viggo Mortenson,,CA,San Francisco,POINT (-122.4029987 37.7937951),3,2026-02-20T16:44:43.000,Chinatown,-122.4029987,2026-02-20T16:37:46.000,37.7937951
Big Eyes,2014,Palace of Fine Arts,,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz,CA,San Francisco,POINT (-122.4484231 37.8029308),2,2026-02-20T16:44:43.000,Marina,-122.4484231,2026-02-20T16:37:46.000,37.8029308
Vegas in Space,1992,Corona Heights Park,,Troma Entertainment,MCA/Universal Home Video,Phillip R. Ford,Doris Fish,Doris Fish,Miss X,Ginger Quest,CA,San Francisco,POINT (-122.4385796 37.7653137),8,2026-02-20T16:44:43.000,Castro/Upper Market,-122.4385796,2026-02-20T16:37:46.000,37.7653137
Chance Season 2,2017,Haight St at Ashbury St,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,CA,San Francisco,POINT (-122.4469681 37.7700202),5,2026-02-20T16:44:43.000,Haight Ashbury,-122.4469681,2026-02-20T16:37:46.000,37.7700202
A Jitney Elopement,1915,Golden Gate Park,"During San Francisco's Gold Rush era, the Park was part of an area designated as the ""Great Sand Waste"".",The Essanay Film Manufacturing Company,General Film Company,Charles Chaplin,Charles Chaplin,Charles Chaplin,Edna Purviance,,CA,San Francisco,POINT (-122.482977 37.7689203),4,2026-02-20T16:44:43.000,Golden Gate Park,-122.482977,2026-02-20T16:37:46.000,37.7689203
Terminator - Genisys,2015,16th and Utah,"Helicopter flies over Utah St. from 16th, rises up before freeway",T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,,CA,San Francisco,POINT (-122.4065727 37.7658572),6,2026-02-20T16:44:43.000,Mission,-122.4065727,2026-02-20T16:37:46.000,37.7658572
Down Periscope,1996,,,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,David S. Ward,Hugh Wilson,Kelsey Grammar,Lauren Holly,,CA,San Francisco,,,2026-02-20T16:44:43.000,,,2026-02-20T16:37:46.000,
Looking Season 2 ep 209,2015,"Mission Arts Center, 2450 Harrison Street",,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.4126175 37.758168),9,2026-02-20T16:44:43.000,Mission,-122.4126175,2026-02-20T16:37:46.000,37.758168
Chan is Missing,1982,"Li Po (916 Grant Avenue at Washington, Chinatown)",,New Yorker Films,New Yorker Films,Wayne Wang,Wayne Wang,Wood Moy,Marc Hayashi,Lauren Chew,CA,San Francisco,POINT (-122.4064344 37.7954238),3,2026-02-20T16:44:43.000,Chinatown,-122.4064344,2026-02-20T16:37:46.000,37.7954238
Terminator - Genisys,2015,Pine St. between Market and Montgomery,,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,,CA,San Francisco,POINT (-122.4012639 37.78825),6,2026-02-20T16:44:43.000,Financial District/South Beach,-122.4012639,2026-02-20T16:37:46.000,37.78825
Groove,2000,435 23rd Street at Illinois,,415 Productions,Sony Pictures Classics,Greg Harrison,Greg Harrison,Chris Ferreira,Elizabeth Sun,,CA,San Francisco,POINT (-122.3845135 37.755198),10,2026-02-20T16:44:43.000,Potrero Hill,-122.3845135,2026-02-20T16:37:46.000,37.755198
Days of Wine and Roses,1962,,,Warner Bros. Pictures,Warner Bros. Pictures,Blake Edwards,JP Miller,Jack Lemmon,Lee Remick,Charles Bickford,CA,San Francisco,,,2026-02-20T16:44:43.000,,,2026-02-20T16:37:46.000,
Bicentennial Man,1999,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",1492 Pictures,Buena Vista Pictures,Chris Columbus,Nicholas Kazan,Robin Williams,,,CA,San Francisco,POINT (-122.4785598 37.8199109),,2026-02-20T16:44:43.000,,-122.4785598,2026-02-20T16:37:46.000,37.8199109
Vegas in Space,1992,Project Artaud (Florida Street),,Troma Entertainment,MCA/Universal Home Video,Phillip R. Ford,Doris Fish,Doris Fish,Miss X,Ginger Quest,CA,San Francisco,POINT (-122.4120813 37.7635734),9,2026-02-20T16:44:43.000,Mission,-122.4120813,2026-02-20T16:37:46.000,37.7635734
Chance Season 2,2017,Haight between Central and Ashbury St,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,CA,San Francisco,POINT (-122.4453615 37.7702175),5,2026-02-20T16:44:43.000,Haight Ashbury,-122.4453615,2026-02-20T16:37:46.000,37.7702175
The Towering Inferno,1974,"Hyatt Regency Hotel (5 Embarcadero Center, Financial District)",,Irwin Allen Productions,Twentieth Century - Fox,John Guillermin,Stirling Silliphant,Steve McQueen,Paul Newman,William Holden,CA,San Francisco,POINT (-122.3956663 37.7942169),3,2026-02-20T16:44:43.000,Financial District/South Beach,-122.3956663,2026-02-20T16:37:46.000,37.7942169
Doctor Dolittle,1998,2100 Green Street,,Twentieth Century Fox Film Cooperation,Twentieth Century Fox Film Cooperation,Betty Thomas,Nat Mauldin,Eddie Murphy,Ossie Davis,,CA,San Francisco,POINT (-122.4339534 37.7965699),2,2026-02-20T16:44:43.000,Marina,-122.4339534,2026-02-20T16:37:46.000,37.7965699
The Diary of a Teenage Girl,2015,Tank Hill Park,,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,CA,San Francisco,POINT (-122.447707 37.7599053),8,2026-02-20T16:44:43.000,Inner Sunset,-122.447707,2026-02-20T16:37:46.000,37.7599053
The Matrix Resurrections,2021,155 California,,"Adobe Pictures, Inc.",Warner Brothers,Lana Wachowski,"Lana Wachowski, David Mitchell, Aleksander Hemon",Keanu Reeves,Keanu Reeves,Neil Patrick Harris,CA,San Francisco,POINT (-122.3984911 37.7932242),3,2026-02-20T16:44:43.000,Financial District/South Beach,-122.3984911,2026-02-20T16:37:46.000,37.7932242
Sense8 - Season 2,2016,"The Women's Building, 3543 18th St.","The mural painted outside the building was painted by 7 women artists including Juana Alicia, Miranda Bergman and Meera Desai. The computer lab scene was filmed inside the building.","Unpronounceable Productions, LLC",Netflix,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings",Jamie Clayton,Daryl Hannah,Naveen Andrews,CA,San Francisco,POINT (-122.4227025 37.7614492),9,2026-02-20T16:44:43.000,Mission,-122.4227025,2026-02-20T16:37:46.000,37.7614492
Blue Jasmine,2013,330 Santa Clara Ave.,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,CA,San Francisco,POINT (-122.4665485 37.7342903),7,2026-02-20T16:44:43.000,West of Twin Peaks,-122.4665485,2026-02-20T16:37:46.000,37.7342903
When a Man Loves a Woman,1994,Buena Vista Café (2765 Hyde Street),,Touchstone Pictures,Buena Vista Pictures,Luis Mandoki,Ronald Bass,Andy Garcia,Meg Ryan,,CA,San Francisco,POINT (-122.4207822 37.8065278),2,2026-02-20T16:44:43.000,Russian Hill,-122.4207822,2026-02-20T16:37:46.000,37.8065278
A Taiwanese Tale of Two Cities,2018,700 Block of Grant Ave.,,Envision Productions Inc.,Netflix,Tien-Lun Yeh,"Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin",Tammy Cheng,Peggy Tseng,Shen-Hao Wen,CA,San Francisco,POINT (-122.405979 37.793631),3,2026-02-20T16:44:43.000,Chinatown,-122.405979,2026-02-20T16:37:46.000,37.793631
Silicon Valley Season 4,2017,Howard St between 3rd and 4th St.,,"Brown Hill Productions, LLC",HBO,Mike Judge,John Altschuler,Thomas Middleditch,T.J. Miller,Josh Brener,CA,San Francisco,POINT (-122.39484 37.77667),6,2026-02-20T16:44:43.000,Mission Bay,-122.39484,2026-02-20T16:37:46.000,37.77667
Etruscan Smile,2017,San Francisco City Hall,The museum party interiors were shot in the Historic San Francisco City Hall.,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,CA,San Francisco,POINT (-122.4192417 37.779275),5,2026-02-20T16:44:43.000,Tenderloin,-122.4192417,2026-02-20T16:37:46.000,37.779275
Freebie and the Bean,1974,Candlestick Park (602 Jamestown Ave.),"Then Vice President Richard Nixon threw out the first pitch when Candlestick opened in 1960. On August 29, 1966, The Beatles played their last concert for paying fans at Candlestick Park.",Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Loretta Swit,CA,San Francisco,POINT (-122.3857003 37.7135483),10,2026-02-20T16:44:43.000,Bayview Hunters Point,-122.3857003,2026-02-20T16:37:46.000,37.7135483
This Is Us,2022,Alamo Square Park,,20th Television,NBC,Mandy Moore,"Dan Fogelman, Casey Johnson, David Windsor, Chrissy Metz",Milo Ventimiglia,Mandy Moore,Sterling K. Brown,CA,San Francisco,POINT (-122.434819 37.7763694),5,2026-02-20T16:44:43.000,Hayes Valley,-122.434819,2026-02-20T16:37:46.000,37.7763694
Dirty Harry,1971,Hall of Justice (850 Bryant Street),,The Malpaso Company,Warner Brothers,Don Siegel,Harry Julian Fink,Clint Eastwood,Harry Guardino,,CA,San Francisco,POINT (-122.4041754 37.7761709),6,2026-02-20T16:44:43.000,South of Market,-122.4041754,2026-02-20T16:37:46.000,37.7761709
San Andreas,2015,AT&T Stadium,"3 characters run out of stadium, there is a group of people on the sidewalk, an earthquake hits, and they duck for cover","Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb,Dwayne Johnson,,,CA,San Francisco,POINT (-122.3892168 37.7784136),6,2026-02-20T16:44:43.000,Mission Bay,-122.3892168,2026-02-20T16:37:46.000,37.7784136
Getting Even with Dad,1994,140 Maiden Lane,,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,,CA,San Francisco,POINT (-122.4059124 37.7882738),3,2026-02-20T16:44:43.000,Financial District/South Beach,-122.4059124,2026-02-20T16:37:46.000,37.7882738
Guess Who's Coming to Dinner,1967,Sutter Street between Powell and Mason,,Columbia Pictures Corporation,Columbia Pictures,Stanley Kramer,William Rose,Spencer Tracy,Sidney Poitier,Katharine Hepburn,CA,San Francisco,POINT (-122.4085114 37.7890687),3,2026-02-20T16:44:43.000,Financial District/South Beach,-122.4085114,2026-02-20T16:37:46.000,37.7890687
Chance- Season 1 ep102,2016,"Warren's Antiques, 375 9th St.",,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham,Hugh Laurie,Gretchen Mol,Ethan Suplee,CA,San Francisco,POINT (-122.4102389 37.7730283),6,2026-02-20T16:44:43.000,South of Market,-122.4102389,2026-02-20T16:37:46.000,37.7730283
Tales of the City,2019,Castro District,,Universal Television LLC,Netflix,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley",Laura Linney,Ellen Page,Murray Bartlett,CA,San Francisco,POINT (-122.435033 37.7608937),8,2026-02-20T16:44:43.000,Castro/Upper Market,-122.435033,2026-02-20T16:37:46.000,37.7608937
A Man on The Inside,2024,"California St. between Leavenworth and Powell, Taylor St. between Sacramento and California, Jones St. between California and Pine",,"Universal Television, LLC",Netflix,Morgan Sackett,Michael Schur,Ted Danson,Mary Elizabeth Ellis,Lilah Richcreek Estrada,CA,San Francisco,,,2026-02-20T16:44:43.000,,,2026-02-20T16:37:46.000,
Surface,2022,Taylor Street between Green and Broadway,,"Apple Studios, LLC",Apple TV+,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates","Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman",Gugu Mbatha-Raw,Oliver Jackson-Cohen,Ari Graynor,CA,San Francisco,POINT (-122.4114139 37.7856667),5,2026-02-20T16:44:43.000,Tenderloin,-122.4114139,2026-02-20T16:37:46.000,37.7856667
The Graduate,1967,Bay Bridge,"Before opening in 1936, the bridge was blessed by Cardinal Secretary of State Eugenio Pacelli, who later became Pope Pius XII.",Embassy Pictures Corporation,Embassy Pictures Corporation,Mike Nichols,Calder Willingham,Anne Bancroft,Dustin Hoffman,Katharine Ross,CA,San Francisco,POINT (-122.3648992 37.8102258),6,2026-02-20T16:44:43.000,Treasure Island,-122.3648992,2026-02-20T16:37:46.000,37.8102258
Looking Season 2 ep 208,2015,950 Mason Street,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.4100923 37.7923883),3,2026-02-20T16:44:43.000,Nob Hill,-122.4100923,2026-02-20T16:37:46.000,37.7923883
24 Hours on Craigslist,2005,,,Yerba Buena Productions,Zealot Pictures,Michael Ferris Gibson,N/A,Craig Newmark,,,CA,San Francisco,,,2026-02-20T16:44:43.000,,,2026-02-20T16:37:46.000,
"Play it Again, Sam",1972,Aquatic Park (Jefferson Street),"Located at one end of Fisherman's Wharf, Aquatic Park was built as part of FDR's Works Progress Administration Project.",Paramount Pictures,Paramount Pictures,Herbert Ross,Woody Allen,Woody Allen,Diane Keaton,Tony Roberts,CA,San Francisco,POINT (-122.4235663 37.8064162),2,2026-02-20T16:44:43.000,Russian Hill,-122.4235663,2026-02-20T16:37:46.000,37.8064162
"Budding Prospects, Pilot",2017,40 Prentiss Street,,Picrow Streaming Inc.,Amazon,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose,Will Sasso,Joel David Moore,CA,San Francisco,POINT (-122.4121012 37.7421331),9,2026-02-20T16:44:43.000,Bernal Heights,-122.4121012,2026-02-20T16:37:46.000,37.7421331
Maxie,1985,"722 Steiner Street (Postcard Row, Alamo Square, Hayes Valley)",The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.,Elsboy Entertainment,Orion Pictures Corporation,Paul Aaron,Patricia Resnick,Glenn Close,Mandy Patinkin,Ruth Gordon,CA,San Francisco,POINT (-122.4327961 37.7764653),5,2026-02-20T16:44:43.000,Hayes Valley,-122.4327961,2026-02-20T16:37:46.000,37.7764653
Chance- Season 1 ep104,2016,1018 Tennessee St.,,TVM Productions,HULU,Carl Franklin,Peter Elkoff,Hugh Laurie,Gretchen Mol,Ethan Suplee,CA,San Francisco,POINT (-122.3896656 37.7589556),10,2026-02-20T16:44:43.000,Potrero Hill,-122.3896656,2026-02-20T16:37:46.000,37.7589556
Alive,2020,Connecticut at 19th St,,CBS Corporation - CBS Studios Inc./CBS Television Studios,CBS,Uta Briesewitz,Jason Tracey,Ryan Phillippe,Mageina Tovah,Katrina Law,CA,San Francisco,POINT (-122.3973929 37.7612503),10,2026-02-20T16:44:43.000,Potrero Hill,-122.3973929,2026-02-20T16:37:46.000,37.7612503
Twisted,2004,Pier 39,,Paramount Pictures,Paramount Pictures,Philip Kaufman,Sarah Thorp,Ashley Judd,Samuel L. Jackson,,CA,San Francisco,POINT (-122.409821 37.808673),3,2026-02-20T16:44:43.000,North Beach,-122.409821,2026-02-20T16:37:46.000,37.808673
Terminator - Genisys,2015,Powell St at Geary St,,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,,CA,San Francisco,POINT (-122.4082534 37.7873806),3,2026-02-20T16:44:43.000,Tenderloin,-122.4082534,2026-02-20T16:37:46.000,37.7873806
Guess Who's Coming to Dinner,1967,San Francisco International Airport,SFO has a museum dedicated to aviation history.,Columbia Pictures Corporation,Columbia Pictures,Stanley Kramer,William Rose,Spencer Tracy,Sidney Poitier,Katharine Hepburn,CA,San Francisco,POINT (-122.3816274 37.6191145),,2026-02-20T16:44:43.000,,-122.3816274,2026-02-20T16:37:46.000,37.6191145
Goliath- Season 4,2021,"Brocklebank Apartments, 1000 Mason St",,"Picrow, Inc.",Amazon Studios,"Billy Bob Thornton, Lawrence Trilling, Derek Johansen","David E. Kelley, Jonathan Shapiro",Billy Bob Thornton,Nina Arianda,Tania Raymonde,CA,San Francisco,POINT (-122.4106579 37.7931077),3,2026-02-20T16:44:43.000,Nob Hill,-122.4106579,2026-02-20T16:37:46.000,37.7931077
